사용자명,별점 평가,별점,리뷰 평가,리뷰 내용
a-교르-,부정적,1,부정,힘들게 시간 쪼개가며 김수로 씨 의 연기 가 궁금해서 여친 과 봤는데 간간히 재미 있긴 했지만 전반 적 으로 여친 에게 미안했습니다 김수로 씨 너무 아깝습니다
무적올챙이,부정적,4,부정,남자친구 랑 보러 갔는데 상당히 무안하더군요
홍주연,부정적,4,부정,"시리즈 로 나온다는 얘기 듣고 씨껍했다 는 간간히 웃기긴 하지만 그래도 
 김수로 씨 이건 아니라고 봅니다"
깅민지,긍정적,9,부정,퍼펙트 짝짝 짝짝 우리 반 마지막 단합 으로 이영화 보러 갓 는데여 정말 보길잘 햇 어 여 저희 는단 체라 서사 처넌 주고 봣 는데 더주고싶 엇어 여 너무 싸게 본게 아닌 가해서 김수로 씨 연기 짱 이예 여 추천 해드리고 싶네여
남혜경,긍정적,8,부정,"도서관 에서 화산고 빌려 본 후 얼떨결 에 또 다시 나 도열 을 보러가게 되었습니다 
 2 번째 보는 나 도열 
 1 번째 봤었을 때 는 몇장 면 놓쳐서 집중 해서 봤습니다만 역시 성 당 씬 이 삭제 되어 있다는 걸 확인 해 버렸습니다 
 나중 에 사서 삭제 장면 봐야겠네요 
 김수로 씨 의 원 맨 쇼 잘 봤습니다 
 하지만 저 는 김수로 씨 말고 주변 의 그 악당 콤비 를 더 주의 깊게 봤습니다 
 2 편 에서도 그 콤비 가 나왔으면 좋겠네요 
 이제 왕 의 남자 도 봐야하는데 돈 이 없어서 문제 네 요 
 일단 그럭저럭 볼 만 합니다 
 사실 구세주 볼까 하다가 나 도열 봤답니다 
 아예 상업 영화 보다는 시리즈 영화 가 더 좋지 않을까요 
 300만 명만 딱 넘어가게 하자구요 
 아 
 아 저 알바 아니에요 좋은 평 주면 꼭 알바 라고 하더라 구"
휴면 사용자,긍정적,7,부정,"친구 랑 봤는데 
 재미있던데요"
영원이,긍정적,10,부정,
,부정적,1,부정,"무슨 내용 을 말 하고 싶은 건지 마지막 엔 김수로 가 블레이드 가 된것 같더군요 
 악 을 처단 하는 형사 얘기 김수로 말고는 별로 재밌는 캐릭터 도 없구 
 김수로 도 지금 까지 봐 왔던 그런 같은 맥락 의 연기 
 솔직히 김수로 흡혈귀 로 별 할 때 마다 쫌 비위 상하 는 넘 클로즈업 되서 
 기존 의 흡혈귀 영화 를 그냥 억지로 웃기 게 만든 
 암튼 요즘 에 본 영화 중 비추 할 영화 입니다"
휴면 사용자,긍정적,7,부정,"정말 솔직히 말 하자면 
 그냥 볼 만 한 영화 에요 
 하지만 김수로 씨 가 굉장히 멋있게 나와서 좋았던 것 같아요 
 김수로 씨 광팬 분들 이 라면 아마 좋아하실것 같아요 이 영화 
 근데 300만 이 과연 넘을지는"
구수경,부정적,2,부정,웃기 기만 해 요 야하구 별로 인 영화 처음 볼때 는 30분 보다가 일생 겨 서 나왔는데 두번째 괜히 또 돈 내고 봤음 부모 동반 해도 애 들 은 보면 안될듯
탈퇴한 사용자,부정적,2,부정,"구세주 보다 별로 잼엄던 영화 
 별로 추천 하고싶진 않다"
hyun mi,부정적,5,부정,"재미 만 있습니다 
 구세주 보다는 아니지만 
 김수로 만 정말 웃겨요"
휴면 사용자,부정적,1,부정,보지 마세요 완전 재미없음 이요 기 대안 하고 봤는데도 시간 아까웠어요
휴면 사용자,긍정적,7,부정,"액션 과 로맨스 와 섹시 의 섞어 찌개 
 김수로 씨 의 물 오른 연기 가 아깝게 느껴졌다"
샴고양이,부정적,3,부정,"언론 에서 조 낸 띄워 준것 알 지 
  역시 빈 수레 는 요란한 법 시리즈 물 로 만들 계획 으로 개봉 했다던데 
   그건 오 바임 쩝"
탈퇴한 사용자,부정적,1,부정,"솔직히 재미있는 정도 는 아니다 
 언론 에서 띄어 준거 만큼은 억지로 웃었다 김수로 생각 보다 안 우 낌"
victoria,부정적,3,부정,갠 적 으로 김수로 씨 좋아해서 보러 갔는데 조금 실망 기대을 넘 많이 해 서 그 런가 손병호 씨 가 캐릭터 을 잘 살린거 같아요 토크쇼 에서 떳 다 말 이 맞을 정도 로 넘 안 웃김 야심 만만 생각 하고 가신 분들 약간 실망 토크쇼 에서는 진짜 잼 났는 데넘 김수로 캐릭 을 못 살린거 같음
탈퇴한 사용자,긍정적,7,부정,웃기긴 한 대 그냥 볼 만 한 영화 같아요 볼 거 없을 때 볼 만 한 영화
정준범이,부정적,1,부정,난 이 게 1등 한 이유 를 도저히 모르겠음 생각 하면 생각 할수록 내 가 이 걸 왜 봤는지 화나는 영화 스파이더맨 을 패러디 한 건지 베 낀 건지 그거 는 명확히 해주기를 바란다 말 만 코미디 이고 전혀 웃기 지 않는다
이뿌니,긍정적,8,부정,주 조연 들 의 연기 도 좋았고 재밌음
채은시은맘,부정적,1,부정,진짜 예고편 이 다 에요 앞 에서 봐서 그런지 김수로 얼굴 만 본 기억 밖에 안나 요 투사부일체 나 볼걸
사람사는 세상,부정적,3,부정,초반 에 넘 지루 웃기는 부분 도 별로 없구에 나오는 김수로 씨 의 웃음 만 생각 하고 가시는 분 들 은 실망할 듯 손병호 천호진 씨 의 연기 가 좋았습니다
꽃길 걷는 모모,긍정적,7,부정,탁 문 수로 나왔던 분 이 누구 지 요 어디서 본 듯 한 얼굴 인데 기억 이 안나 네 요 넘 넘 넘 연기 잘 하시고 화장 한 얼굴 이 잘 어울렸어요 표정 연 기도 압 권 이 고요 김수로 씨 코믹 연기 보러 갔다가 두목 연기자 에게 반하고 왔습니다 그 분 이 누구 시 죠 알 고 싶어요
june,부정적,1,부정,김수로 이 새 뀌 꼭지점 댄스 로 여론몰이 안 했으면 영화사 문 닫았어야해
가을이,부정적,5,부정,"부분 부분 재미있어서 초반 엔 지루하지 않았는데 
 막판 에 약간 지루했네요"
구성일,부정적,1,부정,이딴 영화 만들거면 정말 스크린쿼터 없애라 정말 짱 난다 돈 아깝다
진주,긍정적,7,부정,재밌게 잘 봤어요
가비,부정적,1,부정,정말 최악 의 영화 였습니다
천사콩콩이,긍정적,9,부정,"오늘 조카 랑 보았는데 넘 넘 재밌게 보았어요 
  지루하지 않고 잘 보았답니다"
휴면 사용자,긍정적,7,부정,재미 가 없지도 그렇다고 아주 웃기지도 않은 영화인 듯 영화 내용 자체 가 그렇게 유쾌하게 웃을수 있는 영화 가 아니었다고 봅니다 물론 중간 에 폭소 나 실소 를 유발 하는 김수로 씨 의 연기 는 탁월하다고 봅니다 약간 민망한 장면 이 많았죠 러닝 타임 이 좀 길다는 생각 을 함 중간 중간 약간 지루한 나 도열 2 가 나올듯 한 결말 너무 많은 기대는 하지 마세요 웃으면서 볼 만해 요
임지선,부정적,2,부정,예 매 순위 가 2 위 여서 친구 랑 보긴 했어요 상영 시간 보다 극장 에 늦게 도착 해서 10분 후부터 보긴 했는데 가끔 재밌는 장면 나오고 무슨 내용 인지 모르겠더군요 비디오 로 보기 에 괜찮을 영화 라는 생각 을 했어요 스토리 가 상당히 유치한 편이었구요
뽀라뽀라,긍정적,7,부정,"그냥 저 냥 볼 만하 죠 
  왕 실망 은 아니고 그냥 유쾌하게 볼 만 하네요 
 김수로 님 의 연기 가 좋았기 때문 에 그리고 조연 들 도 좋았고 
 배우 들 은 다 좋은데 대본 이 쫌 그냥 재밌게 봤음"
,부정적,2,부정,"처음 에 진짜 계속 지루하다가 
 중간 에 몇번 그냥 쪼금 웃기 고 
 김수로 가 가끔 씩 진지한 연기 를 보여주는건 괜찮지만 
 전체 적 으로는 아주 지루했습니다"
탈퇴한 사용자,부정적,1,부정,"이 영화 다른 사람 들 은 어떻해 보셨는지 모르겠지만 갠 적 으로 저 는 너무 재미없게 보았 읍니 다 그다지 코미디 인지도 모르겠고 
 웃으면서 본게 몇 장면 없어요 배우 들 의 연기 는 괜찮은 편 인데 
 투사부일체 나 가문 의 위기 를 재밌게 보셨다면 그냥 보실만 하실 수도 있기는 합니다"
즐거운인생,긍정적,7,부정,어슬픈 코미디 영화 김수로 무지 오버 하고 감동 을 후추 처럼 버무린 가벼운 삼각김밥 같은 영화 에요 진수 성찬 기대하시면 실망합니다
풋,긍정적,10,부정,
최주희,부정적,1,부정,
pajama,부정적,1,부정,
양승입니다,부정적,1,부정,첨 엔 김수로 말 한마디 한마디 가 웃겨서 볼 만 햇 는데 갈수록 지루 햇음
강유진,부정적,1,부정,연기 는 그래도 좋 왔는데 그래도 너무 재미없고 저 영화 보는데 지루해 죽는줄 알았음
김윤정,긍정적,10,부정,"가족 들 과 편안하게 즐기면서 볼수 잇는 좋은 영화 입니다전 그렇게 봣읍니 다 
 욕 도 안 나오고 지루함 전혀 없 엇어 요 넘 넘 재미 잇게 봣 어 요 적극 추천 합니다"
김정수,부정적,2,부정,주성치 영화 와 일 본 변태 만화 를 보는 듯 한 난잡한 영화
박현준,긍정적,9,부정,재밌었어요 음 진짜 엄청 기대 를 하고 보면 실망하실 수도 있지만 그냥 기 대안 하고 본다면 정말 재밌을거예요 나 도열 화이팅
아로스,긍정적,10,부정,엄청 재 미을을거 같담
**^^**,긍정적,7,부정,결말 부분 이 조금 지루하긴 했지만 부담 없이 보고 즐기기에 좋은 영화
v좋은사람v,부정적,1,부정,기대도하지 않았다 너무 재미있을거란 생각 도안 했다 영화 는 예고편 없이 보는게 제일 재미있지만이 건 아니었다 억지 웃음 을 자아내기 위 한 영화 였다
보리짱,긍정적,7,부정,"잼 있게잘 봤어여 김수로 씨 연기 짱 이 에여 
 싸우는 장면 웃겨서 죽는줄 알았어여"
앨리스,부정적,1,부정,
탈퇴한 사용자,긍정적,9,부정,
령하,긍정적,9,부정,욱겨 서너 므욱 겨 서 웃음소리 를 참느라 힘드 럿 어 여 그냥 홀리데이 보려다 시간 이 안 맞아서 본건데 재미없을꺼라 생각 했 드 만기 대 이상 이 엿 네 여 끝나고나 왓 는데 자꾸 장면 장면 이 생각나서 나 혼자 웃게되 네 여
이야호,부정적,3,부정,"그다지 재미있지는 않습니다 중간 중간 김수로 님 의 오 바 연기 를 못 보신다면 
 정말 후회 하실 껍니 다 배우 연기 는 뭐 그럭저럭"
YJKWON,부정적,4,부정,영화 를 봤다는 사실 을 비밀 로 하게 될줄은 몰랐다 봤다고 하면 다 들 불쌍하게 볼 꺼 같다 그러나 배우 들 의 연기 는 좋은 편이 다
사랑하기,부정적,4,부정,머랄 까 김수로 식 코미디 를 보러 가긴 했는데 김수로 님 이 왜 영화 를 찍었는지 이해 가 안가네요 확 웃기지도 않고 내 용도 엄꼬별루였삼
가오,긍정적,8,부정,굿
ho_woo,긍정적,9,부정,재밌게 봤어요
gottkf,긍정적,9,부정,"저 는 워낙 김수로 팬 이여 서리 
 김수로 가 아니였음 누가 과연 나 도열 역활 을 소화 해낼 수 있었을까 싶더군요 
 재미있게 보았습니다 
 내용 은 쪼금 유치했지만 김수로 연기 가 잼 났어요 
 꼭 보셔요"
물티슈,부정적,6,부정,김수로 액션씬 도 좋고 재밋어 요 근데 돈 아까운 느낌 은 뭡 니까
태권소년,긍정적,10,부정,어 대단해요
닉네임을 등록해 주세요,긍정적,9,부정,투사부일체 보고 너무 실망 을 한지 라 이 거 볼때 는 기대안하구 봤는데 완전 재미있었음 김수로 랑 오광록 신부 너무 웃김 기대 이상 으로 재미있었음
행복하게,부정적,4,부정,생각 보다 재미 도 없던 영화 근데 정말 알바 라는 게 있구나
좋은친구,부정적,2,부정,김수로 님 의 연기 가 잼 있기는 했지만 끝 도 흐릿 하고 내 용도 영 그냥 쪼끔 웃김
gon5886,긍정적,10,부정,"알바생 들 이 재미없다고 해서 볼까 말까 했는데 
 시작 부터 끝 까지 
 조 낸 쳐 웃고 나온 영화"
감귤캬라멜,긍정적,9,부정,시간 가는 줄 모르고 봤다는 재밌음
탈퇴한 사용자,긍정적,7,부정,기 대안 하고 봐서 좋았 더 영화
난널응원해,긍정적,8,부정,"개인 적 으로 이영화 는 그 전 한국영 화 에서 없던 참신한 소재 여서 관심 을 가지 고 본 영화 였는데 첨 흡혈귀 가 되는 과정 은 다소 황당했지만 
 오히려 그런 부분 이 재미있었던것 같아요 대단한 배우 들 을 내세운것도 아니였는데 재미있게 속편 을 고려 한 영화 가 아니였나 생각 하네요 재밌게 본 영화 입니다"
전보영,긍정적,7,부정,그냥 웃겻음 너무 기대하고 보면 재미없을듯
휴면 사용자,부정적,1,부정,진짜 지루해요 엄청 기대하고 봤는데 별로 웃기지도 않고 영화 보는내내 하품 극장 에서 웃음소리 거의 안 들렸음
늘 그자리에,부정적,4,부정,
휴면 사용자,부정적,1,부정,언니 가 잼있 다해 서 봣는데 너무 너무 실망 허리 아 파서 나갈까 고민 하다 짜증나게 봣어 요
maman de Leo,긍정적,8,부정,김수로 씨 를 좋아하신다면 재미있게 보일수 있을거 같습니다 아무 기대 없이 보신다면 신나게 웃고 나오실수 있내요
,부정적,2,부정,"별루 였어요 스토리 도 뻔하고 억지로 웃길려 하는 경향 이 
 실망 햇 어 요 돈 아까웠고 허리 아프고"
휴면 사용자,부정적,1,부정,지루하고 웃긴 장면 도 별로 없어요 진짜 돈 아까웠음
Katie,긍정적,7,부정,김수로 만의 코믹 연기 에 박수 쳐주고 싶어요 그리고 살짝 어색한 장면 도 있었지 만능 청 스런 코믹 연기 는 굿
안양휘발유,긍정적,10,부정,너무 재미있게 봤습니다 그동안 꽃미남 들 의 반복 되는 코미디 에 질렸었던 터 라 김수로 님 기대 에 어긋나지 않았습니다 강 추강 추꼭 보세요
닉네임을 등록해 주세요,부정적,1,부정,흠 김수로 씨 기대하고 봤는데 외국 의 베트맨같 은 스탈 의 영화 를 어설프게 흉내 낸듯 한 영화 더군요 코믹 영화 임 에도 지루한 감 이 있습니다 2 탄이 과연 나올란 지 제 생각 에는 안 내시는게 나을것 같은데요 비디오 로 보기 에도 그런 영화 네 요
휴면 사용자,부정적,1,부정,기대하고 본 영화 인데 무척 재미없었어요 야한 부분 을 보면 흥분하는 모습 이 별로 였어요 왠지 억 지 웃음 을 주는듯 했답니다
뽀샤순이,긍정적,9,부정,사람 마다 취향 이 다르겠지만 전 원래 코믹 물 을 좋아해서리 무지 재밋 게 봤습니다 김수로 가 무지 웃겼음
the1st,부정적,1,부정,지난 일욜 메 가 박스 울산 에서 15시 55분 꺼 봤는데 보다가 중간 에 나가는 커플 도 있었다는 영화관 에서 차라리 공중파 쇼 프로 를 보여주는게 영화관 수익 에 도움 이 되겠다 10만 넘을 수 있을래 나 이번 주 지나면 상영 종료 되는거 아닌지
각사탕,긍정적,9,부정,너무 재미없지도 않고 그렇게 재밌지도 않은 그냥 괜찮은 영화 평점 이 좀 안 좋던데 너무 기대 들 하고 보셔서 그런듯 전 기대 그다지 안 하고 봐서 영화 끝나고 괜찮네 라고 말 이 나왔고 제 친구 도 뭐 김수로 씨 아니면 그 역할 할 배우 없을듯 그리고 첫 주연 치고 꽤 괜찮음 재미있어요
Have Fun,부정적,5,부정,
곽현주,부정적,4,부정,
jungclsrn,부정적,6,부정,"주위 에 듣고 이 거 재미없다 두사부일체 보다 더 재미없다고 해서리 
 기 대안 하고 봤는데 웃기 기도 하고 잼 있게 봤어요"
휴면 사용자,긍정적,10,부정,기대한것보다 재미있었고요 스트레스 가 풀리네요 한 컷 참 열심히 하신 김수로 씨 에게 박수 를 보냅니다 앞 으로도 더 좋은 영화로 기억 될수 있는 영화인 이 되십이요
지음,긍정적,8,부정,"어제 봤는데 재미 와 오락 성 을 100 갖추어서 마음껏 웃을수 있었던 
 재미 난 영화"
언제나맑음,부정적,2,부정,생각 없이 웃 을 수 있는 그런 영화
윤경님,부정적,1,부정,아 나 이 거 보고 재밋다 고 한 사람 들 다 알바 머 가 재밋 어 앵 간 하믄 나 영화 재밋 게 보는 스탈 인 디 진짜 할말이 없 드 라 시간 땜 에 어쩔 수없이 봤는데 진짜 보지 마세요 시간 아깝고 돈 아깝고
비와당신,부정적,6,부정,그냥 재미 났어요
윤지선,긍정적,9,부정,재미 와 감동 이 있었던 영화 김수로 씨 의 연기 에 박수 를 보냅니다
dhdhdh,긍정적,10,부정,재밌게 봣 어 요
어리버리,부정적,1,부정,"이 게 잼있다는 사람 누구 요 진짜 알바 인가 
 완전 꽝 세상 에 이 게뭐 여 돈 만 아깝고 이럴줄은 알았지만 볼 게 업어서 봤습니다 어이 가 업고요 광고 비 가 아깝고요 스파이더맨 따라 한 것 같은데 수준 꽝 입니다"
재돌,부정적,4,부정,소재 는 특이하지만 주인공 김수로 의 연기 를 빼고나면 별 볼일 없는 영화 입니다 기대 안 했는데도 많이 실망 스럽네요
휴면 사용자,긍정적,8,부정,코미디 영화 치곤 많이 못 웃었다 하지만 괜찮았고 2 편이 기되 된다
전민정,긍정적,9,부정,코믹 영화 라는 게꼭 뭘 남기고 보고나서 남고 그런것 보다는 그냥 웃고 즐기려고 많이 보시잖아요 역시 김수로 씨 는 저 의 기대 를 져 버리지 않았습니다 즐거웠어요 보는 내내
휴면 사용자,긍정적,9,부정,김수로 의 연기 가 돋보이는 영화 재미있고 볼 만해 요
휴면 사용자,긍정적,9,부정,보기전에는 재미 없을줄 알앗는데 보 니까 그렇게 까진 아니지만 재밋어 요 꼭 보셈
ㅎH인,긍정적,10,부정,"완전 추천 대박 추천 
 김수로 씨 의 연기 너무 잘하 심"
박건우,긍정적,10,부정,재밌던데 심야 프로 인데 도 사람 들 꽉찼음 영화 보는 중간 중간 에 사람 들 이 웃고 그러든 마 재밌었음
탈퇴한 사용자,부정적,1,부정,정말 대체 장르 가 어떤 장르 인지 액션 인지 코미디 인지 구분 이 하나 도 안되고 코미디 를 위주 로 만든 영화 같은데 하나 도 재미없고 지루했었다 영화 보고 나오면서 사람 들 반응 다 별로 였다 솔직히 돈 정말 아까웠다
빛을 가져오는 자,긍정적,10,부정,"올해 본거 중 에 제일 재밌었음 김수로 씨 의 연기 진짜 압권 

 그 이소룡 따라 하는 모습 에서 배 가 너무 아프도록 웃었다라는"
소중이라네,긍정적,10,부정,"내일 보러가요 
 기대 만빵"
whitesky,긍정적,7,부정,정말 소재 도 독특하고 재미있어요 김수로 씨 연 기도 압 권 이구 요 재미있습니다
wing_sw86,긍정적,10,부정,정말 환상 의 영화 너무 재미있다 특히 김수로 의 연기 에 빠져든다 절대 놓치면 안되는 영화
진수총각,부정적,6,부정,김수로 씨 넘 웃겨요 근데 마무리 가 썩 김수로 씨 연기 짱
akfncl,부정적,1,부정,별로
hahahoho,긍정적,9,부정,김수로 는 역시 대단해요 볼 만 하던데요 2 탄 꼭 나왔으면 좋겠어용
Louise,긍정적,10,부정,"코 메디 영화 는 재밌게 보고 나왔으면 좋은 거 아닌가요 
 코 메디 영화 의 의도 도 관객 들 을 재밋 게 해주는거고 

 전 영화 보는내내 웃고 나왔으니 을 주겠습니다 나 도열 입니다"
명기리,긍정적,7,부정,"스파이더맨 베트맨 등등 과 어깨 르 나란히 할수 있는 영웅 나 도열 이 탄생 되어서 영화매니아 로 선 좋구요 
 3 편 시리즈 로 예상 으로 만든 나 도열 
 전 잼나게 보았습니다 김수로 식 의 코믹 연기 가 볼 만 했어요 
 단 스토리 상 은 역시 나 짜 맞춘 느낌 흔한 스토리 가 좀 아쉬웠습니다 
 2 편이 예상 돼네요 어떤 스토리 로 전개 댈것인지"
우아하게,부정적,6,부정,공짜 표 가 생겨서 봤습니다 기대 를 넘 햇던 탓 인지 생각 보다 별 루 더군요 독특한 주제 로 재미있을꺼라 생각 했는데 예고편 에 나오는 초반 부분 은 잼있어요 근데 다 아는 내용 이구 요 중간 부분 부터 졸리기 시작 합니다 후반 에선 액션 쓰면서 좀 코믹 했구요 공짜 로 뭐 잘 본거지만 돈 주고 본다면 걍 비됴 나 다운 받아서 보겠네요
경수,긍정적,10,부정,23 편이 기대 되는 영화 근데 연기력 조금 떨어진다
아킬레우스,긍정적,10,부정,그냥 보통 볼 만 한 영화인 것 같은데 좀 웃겨요
,부정적,1,부정,왜 봤을까요 6천원 으로 불 이웃 돕기 나 할껄
you,긍정적,9,부정,"푸하하 이 거 보다 가 친구 웃음소리 에 더 놀라서 계속 웃었 떤 
 물론 내용 은 쪼끔 부실하지만 약간 아쉬워요 정말 안 봤으면 후회 했을듯 
 김수로 단연 코믹 짱 입니다 많이 봐서 2 탄 나왔으면 좋겠어요"
휴면 사용자,긍정적,10,부정,요즘 들어서 진짜 재미있게 본 영화 강추 에요
Baek,긍정적,8,부정,김수로 씨 나와서 그냥 본 영화 였는데 재미있었어요 그래도 시간 낭비 는 아니던데요 웃긴 내용 도 많았구 좀 새로운 코믹 영화 보실 분 추천 이 요
개밥바라기별,긍정적,10,부정,정말 재밌어요 물론 말 이 안되는 부분 이 있기도 했지만 기분 좋게 웃고 나올 수 있는 영화 였는데 큰 기대하지 않고 봤는데 의외로 괜찮았어요 조연 배우 들 의 연기 새로운 기획 다 맘 에 드네 요 악평 하시는 분 이해 가 안 돼요
구여분 앙마,긍정적,9,부정,"작품 성 이나 그런 걸 떠나 아주 즐겁게 봤습니다 
 역시 김수로 씨 라는 생각 을 하고 영화관 을 나섰습니다 
 참 매력 적 인 배우 같습니다"
침대축구,긍정적,10,부정,투사부일체 보다 더 웃기 지만 흥행 조짐 은 그다지 보이지 않구요 가면 이 무슨 한국판 제이슨 이라는 의구 심도 드 네 요 그래도 재미 는 나름 대로
크롬웰경,부정적,1,부정,최악 의 영화 였음 돈 돌려주셈
진현정,긍정적,10,부정,재미있어요 꼭 보세요 강 추강 추
Lijm,부정적,1,부정,"코믹 아님 절대 아님 영화 보고 너무 열 받아서 처음 으로 소감 써 봄 
 6000원 주고 봤는데도 억울함 김수로 씨 작품 선택 잘 하세요"
허니허니베이비,부정적,1,부정,심각한 영화 돈 아깝다
기억속으로,긍정적,9,부정,음 재밌긴 했는데 웃기기만 해서 김수로 왕 웃겼다
유승찬,긍정적,9,부정,
류혜진,긍정적,7,부정,
,긍정적,9,부정,"재미 는 있었지만 스토리 가 단순하고 간단해 다른 스토리 가 더이어져서 나오면 
 괜찮을듯 하네요"
,긍정적,9,부정,웃다가 쓰러질 뻔한 영화 어쩌 구 저 쪄구 안되는거야 말 도 안되는게 있긴하지만 상당히 재밌어요 앙
경진,긍정적,9,부정,"재밌어여 김수로 의 연기력 도 돋보였구요 
 제대로 웃긴거 같아여 
 그리고 오광록 아저씨 의 심각한 연기 는 정말 제대로 웃겼습니다 
 손병호 씨 의 구 랫나루압 권 이 였구요"
진호,부정적,1,부정,앞 으로 자꾸 이런 영화 또 나오면 안 됩니다 스토리 엉 성하고 오로지 김수로 혼자 웃길려고 설쳐 대는 모습 이 70년 대 억지 코 메디 프로 같습니다 유치하고 한심한 마음 에 중간 에 나오고 싶기도 했고 영화 가 끝난 뒤 엔 씁슬햇습니 다 우리 영화 발전 을 위해 서 앞 으로 이런 영화 는 만들지 맙시 다
Jooran Oh,부정적,1,부정,2009 로스트 메모리즈 를 만든 감독 의 후속작 재미있지도 않고 로맨스 도 아닌 영 화벽 에 붙어 다니는건 스파이더맨 이 변신 하는건 헐크 상처 치유 능력 엑스맨 범죄 치안 퇴치 홍길동 이 건아 니 잖아 어정쩡해
김동일,긍정적,10,부정,김수로 의 첫 주연 에서 보는 재미 그대로 에요 하지만 조연 배우 들 의 연 기 때문 에 조금 하향
cLouDy cLouD,긍정적,7,부정,"웃고 나오기 좋은 영 화전 갠 적 으로 수로 형님 보단 신부 님 이 더 웃기던데요 
 별로 안 웃긴말도 수로 형님 이 하니 굉장히 웃기데 
 스토리 는 없어도 재미 난 영화"
김민지,긍정적,9,부정,김수로 씨 나오는 영화 라 기대하구 봤는데요 솔직히 내 용면 에서는 별 내용 없지만 김수로 씨 엄청 웃겨요 간만 에 실컷 웃다가 나왔어요 스트레스 확 풀리던걸요
하니,긍정적,7,부정,예고편 봤을 때 는 처음 부터 끝 까지 웃기는 코미디 영화 줄 알았는데 오늘 보 니까 머 그 정도 는 아니구여 그래두 조폭 에 욕지거리 로 도배 한 투 사부 보다는 훨났네 여
탈퇴한 사용자,긍정적,7,부정,
휴면 사용자,부정적,2,부정,김수로 의 코믹 연기 가 우선 은 돋보였던거 같아요 그리고 좀 억지스러운 부분 도 있었던거 같고요 재미있을줄 알 고 기대하고 봤는데 좀 지루했어요 그래도 좀 지루한것을 가만 하고 보신다면은 괜찮았던거 같아요 좀 마지막 이 허무했지만 편한 마음 으로 보시 면 재밌게 보실수 있을듯
움트트트트트,부정적,4,부정,그냥 그저 그런 영화
365일,부정적,4,부정,기대 를 많이 해서 그런지 실망 스럽던데 별로 웃긴것도 업슨거같 도 마지막 부분 도 좀 허무하 달까
나사랑,부정적,4,부정,
휴면 사용자,긍정적,10,부정,퓨퓨퓨퓨
gustlf,부정적,1,부정,영화 줄거리 가 너무 어이없음 코믹 영화 도 아니고 그렇다고 로맨스 도 아니고 어 쩡쩡함 공짜 로 보아 도 싫은 영화
스피리투스,부정적,1,부정,
rAinFall,부정적,6,부정,괜찮아요 그냥 볼 만 하고 머 투 사부 이런 거 보다는 백배 낫고요 많이 웃기 고 특히 나 다 들 연기 는 확실하신 분 들이죠
휴면 사용자,긍정적,8,부정,
임나운,긍정적,9,부정,"내용 을 별 론데 요 김수로 가 아예 진짜 웃겨요 
 본래 웃기기로 소문 마니 났 자나요 근데 진짜 로 웃겨요 내용 은 없는데 웃고싶다면 추천"
넌누구냥,긍정적,10,부정,유치한듯 하면서 그래도 웃 을 수 밖에 없는 마력 을 지닌 영화
탈퇴한 사용자,부정적,6,부정,볼때 는 아주 잼 나게 웃고 나왔는데 나와서 생각 하니 내용 이 없어요
,긍정적,9,부정,"시사회 봤었는데 나름데로 생각 보다는 훨 괜찮던데 
 추천 해 주고 싶네요 대박날 껏 같기도 하구요"
박성결,긍정적,8,부정,
imhappy,긍정적,10,부정,오버 하지 않는 주 조연 들 의 적절한 연기 김수로 는 물론 이고 특히 악역 으로 나오는 분 의 연기 는 정말 멋졌다 다른사람 이 했으면 자칫 오버 에 졸작 을 만들었을지도 모른다는 생각 이 들었다 내내 웃다 보니 너무 웃어서 눈물 이 났다 다음 날 복근 이 생겨서 배 가 아플 정도 로 적극 추천 이 요
샤방꼬냥,부정적,2,부정,얼마 전 이벤트 로 시사회 갔다가 왔는데요 솔직히 그렇게 재밌단 생각 은 하지 않았습니다 김수로 의 코믹 연기 는 곳곳 에 재밌는 요소 가 있었지만 내용 이 너무 뻔하다 못 해 시간 에 쫒기듯이 내용 전개 가 이루워 진것 같단 생각 이 들더라구요
,긍정적,9,부정,기분 좋게 볼 수 있는 한국 코미디 영화 의외로 웃음 의 절제 와 템포 조절 에 성공한 영화
박정민,긍정적,7,부정,시사회 봤는데 한창 웃다 나왔습니다 영화 가 끝나고 나오면서 무엇 때문 에 웃었는지 모를 만큼 요 그런데 큰 기대 를 하지 않고 봐서 그런건 지도 하 지만 연기 들 이 다 들 좋으셔셔 후회 는 안 하실듯
만우,부정적,5,부정,시사회 방금 보고 왔습니다 평점 중간 그래도 볼 만 했으 므 다 코믹 만 있다면 싱거웠을을 재미있었음
돼지뚱뚜루,긍정적,9,부정,기대 만큼 잼있는 영화
거북이,긍정적,10,부정,이한위 씨 가 누구 죠 김수로 의 균형 잡힌 코믹 연기 가 기분 좋았고 만화 적 인 설정 이 유치하지 않게 살려 낸 감독 의 연출 력 이 놀랍다 토종 배트맨 비긴즈 랄 까
라랄라,부정적,4,부정,생각 보다 별루 안 웃겼어요 흠
SUK-Ha Ryu,부정적,4,부정,
휴면 사용자,부정적,2,부정,말 그대로 웃기기만 한 영화 언제나 그래 왔듯이 보고 나서는 아무 느낌 없이 그냥 웃다고 나온 느낌 이 드는 영화 였다 하지만 김수로 씨 의 연기 는 정말 대단했다 많이 웃기긴 했으나 기대 해서 꼭 볼 영화 는 절대 아닌것 같다
이쁜여우,긍정적,10,부정,
